"nacionality","sex","sport","edad","medallas"
"ROU","female","athletics",23,"NO"
"UKR","female","wrestling",25,"NO"
"BLR","female","athletics",27,"NO"
"BRA","female","football",27,"NO"
"GER","female","wrestling",25,"NO"
"BRA","female","wrestling",30,"NO"
"BLR","female","athletics",26,"NO"
"IRI","male","judo",19,"NO"
"IRI","male","wrestling",22,"NO"
"USA","female","gymnastics",22,"NO"
"RUS","female","sailing",26,"NO"
"USA","female","cycling",25,"SI"
"USA","female","volleyball",28,"SI"
"BRA","male","volleyball",31,"SI"
"GBR","female","sailing",29,"NO"
"NZL","male","rowing",27,"NO"
"GBR","male","triathlon",28,"SI"
"RUS","female","gymnastics",22,"SI"
"GUY","female","athletics",19,"NO"
"FRA","female","tennis",26,"NO"
"UKR","female","wrestling",27,"NO"
"RUS","female","aquatics",27,"SI"
"HON","male","football",23,"NO"
"AUS","male","rugby sevens",23,"NO"
"HON","male","aquatics",23,"NO"
"SEY","male","sailing",39,"NO"
"DEN","male","sailing",35,"NO"
"BRA","male","aquatics",27,"NO"
"HON","male","football",23,"NO"
"EST","male","rowing",33,"SI"
"USA","female","football",29,"NO"
"CAN","female","cycling",23,"SI"
"USA","female","equestrian",37,"SI"
"FRA","female","handball",27,"SI"
"USA","female","aquatics",26,"SI"
"SKN","male","athletics",26,"NO"
"CAN","female","football",27,"SI"
"USA","female","athletics",31,"SI"
"ARU","female","aquatics",21,"NO"
"KAZ","male","wrestling",29,"NO"
"ETH","female","athletics",25,"SI"
"GER","male","weightlifting",35,"NO"
"GER","female","football",25,"SI"
"ISR","female","gymnastics",19,"NO"
"LAT","female","aquatics",25,"NO"
"PAN","male","athletics",27,"NO"
"PER","male","equestrian",38,"NO"
"BAH","male","athletics",24,"SI"
"KEN","male","athletics",22,"NO"
"TAN","male","athletics",24,"NO"
"BRA","male","athletics",26,"NO"
"BRA","male","equestrian",43,"NO"
"ESP","male","hockey",23,"NO"
"ESP","male","athletics",22,"NO"
"ESP","male","athletics",22,"NO"
"FIJ","male","football",28,"NO"
"AUS","female","canoe",24,"NO"
"GER","male","athletics",27,"NO"
"PUR","female","athletics",23,"NO"
"CAN","female","athletics",22,"NO"
"GBR","female","athletics",38,"NO"
"AUS","female","canoe",21,"NO"
"RSA","female","athletics",25,"NO"
"USA","female","hockey",22,"NO"
"USA","female","football",28,"NO"
"CAN","female","athletics",24,"NO"
"CZE","female","aquatics",26,"NO"
"GUI","male","aquatics",22,"NO"
"SEN","male","athletics",24,"NO"
"ESP","female","rugby sevens",19,"NO"
"NGR","female","athletics",26,"NO"
"DEN","female","cycling",20,"NO"
"NOR","female","athletics",22,"NO"
"DEN","female","canoe",22,"NO"
"ARM","female","athletics",28,"NO"
"ETH","male","athletics",32,"NO"
"BRA","female","rugby sevens",26,"NO"
"THA","female","cycling",26,"NO"
"RSA","female","football",28,"NO"
"USA","female","rowing",25,"SI"
"SWE","female","football",23,"NO"
"NOR","female","handball",25,"SI"
"SIN","female","sailing",22,"NO"
"BRA","female","aquatics",29,"NO"
"USA","female","rowing",30,"SI"
"BRA","female","fencing",22,"NO"
"AUS","female","cycling",29,"NO"
"USA","female","aquatics",30,"SI"
"FRA","female","football",27,"NO"
"FRA","female","handball",30,"SI"
"FRA","female","canoe",30,"NO"
"TKM","male","athletics",27,"NO"
"ERI","male","athletics",26,"NO"
"CRO","male","weightlifting",29,"NO"
"BLR","male","wrestling",26,"NO"
"NGR","male","wrestling",26,"NO"
"USA","female","athletics",35,"NO"
"NZL","female","football",32,"NO"
"GBR","female","shooting",19,"NO"
"RWA","male","athletics",36,"NO"
"QAT","male","handball",22,"NO"
"USA","male","athletics",25,"NO"
"FRA","female","basketball",27,"NO"
"FRA","female","football",23,"NO"
"BIH","male","athletics",25,"NO"
"SRB","female","athletics",23,"NO"
"ARG","female","handball",28,"NO"
"USA","female","aquatics",25,"NO"
"NZL","female","hockey",25,"NO"
"ARG","female","shooting",39,"NO"
"CAN","female","triathlon",23,"NO"
"AUT","male","wrestling",28,"NO"
"JPN","female","judo",21,"SI"
"FRA","male","cycling",21,"NO"
"AUS","female","aquatics",20,"NO"
"ALG","female","athletics",29,"NO"
"BIH","female","aquatics",20,"NO"
"ALG","female","rowing",30,"NO"
"NGR","female","wrestling",23,"NO"
"MDV","female","aquatics",23,"NO"
"TUN","male","handball",26,"NO"
"ALG","male","athletics",25,"NO"
"TGA","male","aquatics",27,"NO"
"NGR","male","football",21,"SI"
"IRI","male","volleyball",25,"NO"
"GEO","male","judo",28,"NO"
"ISR","female","aquatics",27,"NO"
"IRQ","male","football",19,"NO"
"IRQ","male","football",23,"NO"
"MAW","female","aquatics",19,"NO"
"SUD","female","athletics",26,"NO"
"THA","male","boxing",37,"NO"
"TUN","male","athletics",31,"NO"
"EGY","male","modern pentathlon",30,"NO"
"USA","female","athletics",32,"NO"
"AUS","female","cycling",24,"NO"
"CAN","female","equestrian",39,"NO"
"SEN","female","athletics",30,"NO"
"GBR","female","gymnastics",17,"SI"
"AUS","female","rugby sevens",32,"SI"
"GBR","female","rugby sevens",25,"NO"
"RSA","female","cycling",29,"NO"
"BRA","female","fencing",23,"NO"
"POR","female","athletics",32,"NO"
"BRA","female","athletics",28,"NO"
"SRB","female","basketball",27,"SI"
"CRO","female","gymnastics",18,"NO"
"POR","female","athletics",34,"NO"
"ARG","female","volleyball",30,"NO"
"ROU","female","aquatics",14,"NO"
"SRB","female","tennis",29,"NO"
"DOM","female","athletics",27,"NO"
"CRO","female","tennis",19,"NO"
"BRA","female","sailing",27,"NO"
"ROU","female","gymnastics",17,"NO"
"BRA","female","aquatics",24,"NO"
"ROU","female","fencing",32,"SI"
"COL","female","archery",30,"NO"
"BRA","female","handball",29,"NO"
"BRA","female","canoe",27,"NO"
"ESP","female","gymnastics",19,"NO"
"COL","female","rugby sevens",25,"NO"
"POR","female","gymnastics",28,"NO"
"FIJ","female","rugby sevens",28,"NO"
"COL","female","cycling",26,"NO"
"BRA","female","canoe",20,"NO"
"CRO","female","athletics",26,"NO"
"GUA","female","gymnastics",21,"NO"
"ANG","female","aquatics",26,"NO"
"ROU","female","athletics",32,"NO"
"CRO","female","taekwondo",29,"NO"
"AUT","female","canoe",26,"NO"
"ESP","female","tennis",34,"NO"
"AUS","female","aquatics",23,"SI"
"SLO","female","judo",25,"SI"
"ROU","female","athletics",28,"NO"
"EGY","male","athletics",23,"NO"
"RSA","male","athletics",24,"NO"
"MAR","male","cycling",23,"NO"
"DJI","male","judo",21,"NO"
"RUS","female","triathlon",26,"NO"
"RUS","female","gymnastics",22,"SI"
"MKD","female","aquatics",23,"NO"
"ISR","female","aquatics",31,"NO"
"UKR","female","archery",21,"NO"
"RUS","female","tennis",25,"NO"
"AUS","female","tennis",34,"NO"
"RUS","female","volleyball",26,"NO"
"RUS","female","aquatics",21,"SI"
"RUS","female","taekwondo",26,"NO"
"RUS","female","boxing",23,"SI"
"RUS","female","aquatics",26,"NO"
"GEO","female","weightlifting",20,"NO"
"UKR","female","rowing",30,"NO"
"RUS","female","aquatics",22,"NO"
"UKR","female","weightlifting",21,"NO"
"RUS","female","gymnastics",25,"SI"
"UKR","female","aquatics",22,"NO"
"RUS","female","gymnastics",19,"SI"
"UKR","female","canoe",23,"NO"
"RUS","female","cycling",23,"SI"
"LAT","female","wrestling",26,"NO"
"GER","female","gymnastics",19,"NO"
"BLR","female","weightlifting",21,"NO"
"BLR","female","modern pentathlon",31,"NO"
"BLR","female","athletics",23,"NO"
"UKR","female","aquatics",20,"NO"
"UZB","female","gymnastics",19,"NO"
"UKR","female","modern pentathlon",23,"NO"
"KAZ","female","athletics",26,"NO"
"TJK","female","aquatics",15,"NO"
"BLR","female","basketball",29,"NO"
"UKR","female","gymnastics",18,"NO"
"KAZ","female","athletics",30,"NO"
"KAZ","female","athletics",28,"NO"
"UKR","male","fencing",27,"NO"
"ROU","female","athletics",29,"NO"
"MNE","female","handball",29,"NO"
"CRO","male","aquatics",31,"SI"
"ESP","male","canoe",29,"NO"
"DEN","male","equestrian",40,"NO"
"DEN","male","aquatics",25,"NO"
"NOR","male","sailing",24,"NO"
"USA","male","rowing",24,"NO"
